Cell_ID,x,y,Ground_Truth,Cell_Type,Lineage
cell289,0.52036787592237,0.135490074986592,0.52036787592237,D,1
cell290,0.521866958394323,0.918804741231725,0.521866958394323,D,1
cell291,0.523401677688848,0.264796643983573,0.523401677688848,D,1
cell292,0.524521281736382,0.766250413376838,0.524521281736382,D,1
cell293,0.52531838536889,0.744456279790029,0.52531838536889,D,1
cell294,0.905758034903556,0.248439768562093,0.905758034903556,H,2
cell295,0.525417339026913,0.420537578174844,0.525417339026913,D,1
cell296,0.525422237844663,0.684058069251478,0.525422237844663,D,1
cell297,0.52777499148988,0.549906532978639,0.52777499148988,D,1
cell298,0.528547098788752,0.122273312183097,0.528547098788752,D,1
cell299,0.952860419405624,0.697269280673936,0.952860419405624,H,2
cell300,0.278343267738819,0.712603093823418,0.278343267738819,H,2
cell301,0.61227093799971,0.263990230625495,0.61227093799971,J,3
cell302,0.528643098383871,0.0703216660767794,0.528643098383871,D,1
cell303,0.528797810736242,0.671345366630703,0.528797810736242,D,1
cell304,0.167666938854381,0.925060485489666,0.167666938854381,H,2
cell305,0.529719268353314,0.0800386623013765,0.529719268353314,D,1
cell306,0.530706489097582,0.389352233614773,0.530706489097582,D,1
cell307,0.618552722036839,0.0977193734142929,0.618552722036839,J,3
cell308,0.408950692974031,0.328899909742177,0.408950692974031,J,3
cell309,0.535373382343782,0.595214084722102,0.535373382343782,D,1
cell310,0.804771482944489,0.855369714321569,0.804771482944489,H,2
cell311,0.535562725307588,0.57965819328092,0.535562725307588,D,1
cell312,0.335778439883143,0.209694425342605,0.335778439883143,H,2
cell313,0.139490716857836,0.969159916741773,0.139490716857836,J,3
cell314,0.536313421853955,0.473482607165352,0.536313421853955,D,1
cell315,0.537621240868729,0.905069222673774,0.537621240868729,D,1
cell316,0.537675510231374,0.975633549969643,0.537675510231374,D,1
cell317,0.413821950787678,0.188607231713831,0.413821950787678,H,2
cell318,0.538135420787019,0.534998920978978,0.538135420787019,D,1
cell319,0.749954476952553,0.0534699503332376,0.749954476952553,H,2
cell320,0.538200412151875,0.154960934305564,0.538200412151875,D,1
cell321,0.538830029395771,0.0136520555242896,0.538830029395771,D,1
cell322,0.541083092610675,0.992472383659333,0.541083092610675,D,1
cell323,0.199013850418851,0.377611334435642,0.199013850418851,J,3
cell324,0.541815481858433,0.995762030594051,0.541815481858433,D,1
cell325,0.457885280949995,0.928108921973035,0.457885280949995,J,3
cell326,0.645322218770161,0.678469470702112,0.645322218770161,J,3
cell327,0.541993133064745,0.651514847530052,0.541993133064745,D,1
cell328,0.544231582198457,0.146326432004571,0.544231582198457,D,1
cell329,0.545644933258949,0.584342031739652,0.545644933258949,D,1
cell330,0.202531853225082,0.850962461903691,0.202531853225082,H,2
cell331,0.545771504763781,0.707013906911016,0.545771504763781,D,1
cell332,0.547853023586706,0.335635059513152,0.547853023586706,E,1
cell333,0.552682198258499,0.443131059175357,0.552682198258499,E,1
cell334,0.553828040257046,0.0638983263634145,0.553828040257046,E,1
cell335,0.55484085526861,0.610110895242542,0.55484085526861,E,1
cell336,0.817312963074073,0.715533365262672,0.817312963074073,J,3
cell337,0.556022396706388,0.928211378399283,0.556022396706388,E,1
cell338,0.559753345263326,0.728397025261074,0.559753345263326,E,1
cell339,0.562424829019972,0.133076010504737,0.562424829019972,E,1
cell340,0.351681492989883,0.245183722348884,0.351681492989883,H,2
cell341,0.343003663234413,0.288557903608307,0.343003663234413,H,2
cell342,0.567674643550248,0.444267669925466,0.567674643550248,E,1
cell343,0.817906028125435,0.789166938047856,0.817906028125435,H,2
cell344,0.570177308420409,0.0993843988981098,0.570177308420409,E,1
cell345,0.574154529783621,0.129837377928197,0.574154529783621,E,1
cell346,0.478248299332336,0.100729484111071,0.478248299332336,J,3
cell347,0.061578867258504,0.802712123841047,0.061578867258504,H,2
cell348,0.574909544975602,0.962684422265738,0.574909544975602,E,1
cell349,0.576234498746232,0.338448616908863,0.576234498746232,E,1
cell350,0.579172697241294,0.74615165614523,0.579172697241294,E,1
cell351,0.57981859521568,0.438727716449648,0.57981859521568,E,1
cell352,0.601636367850006,0.578488352242857,0.601636367850006,J,3
cell353,0.587746528366067,0.0642800205387175,0.587746528366067,E,1
cell354,0.58785660118577,0.835788629716262,0.58785660118577,E,1
cell355,0.588960648071911,0.538066728739068,0.588960648071911,E,1
cell356,0.591306834977,0.358729511266574,0.591306834977,E,1
cell357,0.594157891463153,0.790699202567339,0.594157891463153,E,1
cell358,0.596092199203339,0.0195714423898607,0.596092199203339,E,1
cell359,0.597603197845989,0.292398643912748,0.597603197845989,E,1
cell360,0.641573167173192,0.0933190647047013,0.641573167173192,H,2
cell361,0.416710858000442,0.475409185746685,0.416710858000442,J,3
cell362,0.599709660157253,0.952313410351053,0.599709660157253,E,1
cell363,0.600262976159001,0.484190958784893,0.600262976159001,E,1
cell364,0.474709382280707,0.636238775216043,0.474709382280707,H,2
cell365,0.600993532689324,0.467853646958247,0.600993532689324,E,1
cell366,0.606322902004815,0.265033061616123,0.606322902004815,E,1
cell367,0.608888686919651,0.463218374643475,0.608888686919651,E,1
cell368,0.0233114024158567,0.70825421018526,0.0233114024158567,H,2
cell369,0.82098212488927,0.566467974800617,0.82098212488927,J,3
cell370,0.611846067591783,0.907966610044241,0.611846067591783,E,1
cell371,0.744260249659419,0.798201411962509,0.744260249659419,H,2
cell372,0.617022540138066,0.733311875956133,0.617022540138066,E,1
cell373,0.802805056329817,0.77084104414098,0.802805056329817,J,3
cell374,0.617416365180785,0.640360977733508,0.617416365180785,E,1
cell375,0.617964641652659,0.826399490004405,0.617964641652659,E,1
cell376,0.618100545569415,0.858347678091377,0.618100545569415,E,1
cell377,0.618521665097295,0.802751989103854,0.618521665097295,E,1
cell378,0.147768284427002,0.758394319098443,0.147768284427002,H,2
cell379,0.165241218637675,0.726203835569322,0.165241218637675,H,2
cell380,0.619308369850557,0.494330544723198,0.619308369850557,E,1
cell381,0.437384814489633,0.192097611026838,0.437384814489633,H,2
cell382,0.619369927983187,0.58378247753717,0.619369927983187,E,1
cell383,0.048443416133523,0.278031191322953,0.048443416133523,H,2
cell384,0.620602572703048,0.11900884588249,0.620602572703048,E,1
cell385,0.0335430284030735,0.188712644390762,0.0335430284030735,J,3
cell386,0.622377417537899,0.256258487934247,0.622377417537899,E,1
cell387,0.622511144773048,0.119998983573169,0.622511144773048,E,1
cell388,0.626919804155515,0.439175905892625,0.626919804155515,E,1
cell389,0.0021216424647718,0.301577699137852,0.0021216424647718,J,3
cell390,0.763712724670768,0.0171586186625063,0.763712724670768,H,2
cell391,0.629041224413916,0.0702012362889946,0.629041224413916,E,1
cell392,0.634353283654737,0.396591043332592,0.634353283654737,E,1
cell393,0.637503642835004,0.114980146288872,0.637503642835004,E,1
cell394,0.31134017650038,0.224219894735143,0.31134017650038,J,3
cell395,0.115302969003096,0.244421210605651,0.115302969003096,J,3
cell396,0.328513170126826,0.382532375631854,0.328513170126826,J,3
cell397,0.538251054240391,0.49436687072739,0.538251054240391,J,3
cell398,0.783568430226296,0.872988483635709,0.783568430226296,J,3
cell399,0.597302825190127,0.0635362672619522,0.597302825190127,H,2
cell400,0.678019017912447,0.807635786011815,0.678019017912447,J,3
cell401,0.734779457561672,0.249610416591167,0.734779457561672,J,3
cell402,0.637515233489776,0.0992726366966963,0.637515233489776,E,1
cell403,0.438070675823838,0.922526873880997,0.438070675823838,J,3
cell404,0.641823861292029,0.106842994689941,0.641823861292029,E,1
cell405,0.642788656436798,0.0047691785730421,0.642788656436798,E,1
cell406,0.645313295910785,0.324076611315832,0.645313295910785,E,1
cell407,0.647736904493906,0.240381968906149,0.647736904493906,E,1
cell408,0.121287565911189,0.631849481025711,0.121287565911189,J,3
cell409,0.809203548589721,0.265560296596959,0.809203548589721,J,3
cell410,0.648311700976943,0.195068472763523,0.648311700976943,E,1
cell411,0.648786335003162,0.669084754539654,0.648786335003162,E,1
cell412,0.648996791625022,0.915934722404927,0.648996791625022,E,1
cell413,0.788935676217079,0.0397493031341583,0.788935676217079,H,2
cell414,0.0267090713605285,0.84802596992813,0.0267090713605285,J,3
cell415,0.649408923557247,0.483496185392141,0.649408923557247,E,1
cell416,0.048178933095187,0.315228193067014,0.048178933095187,H,2
cell417,0.651090319873652,0.882797053549439,0.651090319873652,E,1
cell418,0.652963529906526,0.865081694209948,0.652963529906526,E,1
cell419,0.653781985849884,0.280380930285901,0.653781985849884,F,1
cell420,0.207743774168193,0.96293309610337,0.207743774168193,H,2
cell421,0.65435898094736,0.600900606950745,0.65435898094736,F,1
cell422,0.654885692438847,0.342761637177318,0.654885692438847,F,1
cell423,0.507876303745434,0.942503743804991,0.507876303745434,J,3
cell424,0.655962144889189,0.22135272109881,0.655962144889189,F,1
cell425,0.405078024836257,0.0110983443446457,0.405078024836257,H,2
cell426,0.109938397072256,0.056665325537324,0.109938397072256,H,2
cell427,0.656116478735401,0.0484471435192972,0.656116478735401,F,1
cell428,0.656660008552929,0.164852913469076,0.656660008552929,F,1
cell429,0.967780995415524,0.720789703540504,0.967780995415524,J,3
cell430,0.657920506616887,0.958007588982582,0.657920506616887,F,1
cell431,0.767666762694716,0.770598146365955,0.767666762694716,H,2
cell432,0.658574727417801,0.0519575087819248,0.658574727417801,F,1
