"","cell1","cell2","cell3","cell4","cell5","cell6","cell7","cell8","cell9","cell10","cell11","cell12","cell13","cell14","cell15","cell16","cell17","cell18","cell19","cell20","cell21","cell22","cell23","cell24","cell25","cell26","cell27","cell28","cell29","cell30","cell31","cell32","cell33","cell34","cell35","cell36","cell37","cell38","cell39","cell40","cell41","cell42","cell43","cell44","cell45","cell46","cell47","cell48","cell49","cell50","cell51","cell52","cell53","cell54","cell55","cell56","cell57","cell58","cell59","cell60","cell61","cell62","cell63","cell64","cell65","cell66","cell67","cell68","cell69","cell70","cell71","cell72","cell73","cell74","cell75","cell76","cell77","cell78","cell79","cell80","cell81","cell82","cell83","cell84","cell85","cell86","cell87","cell88","cell89","cell90","cell91","cell92","cell93","cell94","cell95","cell96","cell97","cell98","cell99","cell100","cell101","cell102","cell103","cell104","cell105","cell106","cell107","cell108","cell109","cell110","cell111","cell112","cell113","cell114","cell115","cell116","cell117","cell118","cell119","cell120","cell121","cell122","cell123","cell124","cell125","cell126","cell127","cell128","cell129","cell130","cell131","cell132","cell133","cell134","cell135","cell136","cell137","cell138","cell139","cell140","cell141","cell142","cell143","cell144","cell145","cell146","cell147","cell148","cell149","cell150","cell151","cell152","cell153","cell154","cell155","cell156","cell157","cell158","cell159","cell160","cell161","cell162","cell163","cell164","cell165","cell166","cell167","cell168","cell169","cell170","cell171","cell172","cell173","cell174","cell175","cell176","cell177","cell178","cell179","cell180","cell181","cell182","cell183","cell184","cell185","cell186","cell187","cell188","cell189","cell190","cell191","cell192","cell193","cell194","cell195","cell196","cell197","cell198","cell199","cell200","cell201","cell202","cell203","cell204","cell205","cell206","cell207","cell208","cell209","cell210","cell211","cell212","cell213","cell214","cell215","cell216","cell217","cell218","cell219","cell220","cell221","cell222","cell223","cell224","cell225","cell226","cell227","cell228","cell229","cell230","cell231","cell232","cell233","cell234","cell235","cell236","cell237","cell238","cell239","cell240","cell241","cell242","cell243","cell244","cell245","cell246","cell247","cell248","cell249","cell250","cell251","cell252","cell253","cell254","cell255","cell256","cell257","cell258","cell259","cell260","cell261","cell262","cell263","cell264","cell265","cell266","cell267","cell268","cell269","cell270","cell271","cell272","cell273","cell274","cell275","cell276","cell277","cell278","cell279","cell280","cell281","cell282","cell283","cell284","cell285","cell286","cell287","cell288","cell289","cell290","cell291","cell292","cell293","cell294","cell295","cell296","cell297","cell298","cell299","cell300","cell301","cell302","cell303","cell304","cell305","cell306","cell307","cell308","cell309","cell310","cell311","cell312","cell313","cell314","cell315","cell316","cell317","cell318","cell319","cell320","cell321","cell322","cell323","cell324","cell325","cell326","cell327","cell328","cell329","cell330","cell331","cell332","cell333","cell334","cell335","cell336","cell337","cell338","cell339","cell340","cell341","cell342","cell343","cell344","cell345","cell346","cell347","cell348","cell349","cell350","cell351","cell352","cell353","cell354","cell355","cell356","cell357","cell358","cell359","cell360","cell361","cell362","cell363","cell364","cell365","cell366","cell367","cell368","cell369","cell370","cell371","cell372","cell373","cell374","cell375","cell376","cell377","cell378","cell379","cell380","cell381","cell382","cell383","cell384","cell385","cell386","cell387","cell388","cell389","cell390","cell391","cell392","cell393","cell394","cell395","cell396","cell397","cell398","cell399","cell400","cell401","cell402","cell403","cell404","cell405","cell406","cell407","cell408","cell409","cell410","cell411","cell412","cell413","cell414","cell415","cell416","cell417","cell418","cell419","cell420","cell421","cell422","cell423","cell424","cell425","cell426","cell427","cell428","cell429","cell430","cell431","cell432","cell433","cell434","cell435","cell436","cell437","cell438","cell439","cell440","cell441","cell442","cell443","cell444","cell445","cell446","cell447","cell448","cell449","cell450","cell451","cell452","cell453","cell454","cell455","cell456","cell457","cell458","cell459","cell460","cell461","cell462","cell463","cell464","cell465","cell466","cell467","cell468","cell469","cell470","cell471","cell472","cell473","cell474","cell475","cell476","cell477","cell478","cell479","cell480","cell481","cell482","cell483","cell484","cell485","cell486","cell487","cell488","cell489","cell490","cell491","cell492","cell493","cell494","cell495","cell496","cell497","cell498","cell499","cell500"
"A2_TF1",17,12,5,7,16,12,6,15,7,7,13,7,6,6,5,11,9,13,9,7,16,3,13,9,11,16,15,6,10,8,19,2,12,5,11,10,7,7,5,8,12,10,9,14,6,13,12,12,10,4,0,6,9,11,11,9,16,10,10,7,8,9,10,10,17,27,9,12,6,14,20,11,9,12,7,12,5,16,5,11,10,8,15,8,3,14,5,15,11,6,10,6,11,12,11,5,2,12,8,11,15,11,14,4,17,2,12,7,10,14,9,22,11,17,8,14,18,11,9,21,9,11,22,2,15,10,6,14,11,10,10,4,10,8,7,11,29,8,5,10,6,4,10,14,13,11,6,15,13,6,6,15,11,14,10,27,6,17,19,0,8,10,4,11,9,11,8,9,4,9,10,12,5,11,3,26,11,19,10,8,6,7,7,22,10,9,18,9,11,3,4,11,1,6,7,0,18,15,7,11,15,12,18,9,8,9,10,19,20,9,4,14,4,0,10,8,13,4,10,12,8,16,10,5,4,5,12,0,5,14,8,9,15,10,8,0,6,8,15,23,7,8,8,5,4,17,7,12,7,8,10,6,13,10,12,15,8,8,6,6,12,7,6,20,11,4,5,6,13,6,8,12,15,13,14,10,2,1,6,1,6,25,16,6,6,14,19,9,8,1,5,6,10,16,8,35,6,8,11,5,13,1,9,15,29,10,7,18,9,7,8,8,9,3,21,7,14,7,10,4,13,7,10,14,20,6,10,9,10,6,6,4,17,16,0,14,6,5,24,9,18,4,6,19,14,13,16,9,11,6,0,12,4,4,10,13,10,5,9,10,7,6,16,7,10,7,5,12,17,8,3,7,16,17,14,10,36,10,7,0,7,0,10,17,10,11,6,14,10,14,25,11,8,9,19,11,12,9,8,12,15,14,18,9,5,12,6,6,13,11,5,14,12,13,6,15,3,9,8,14,9,8,11,8,13,8,2,11,12,3,6,9,15,9,13,24,4,8,10,10,19,13,19,4,10,12,0,14,14,4,7,11,18,20,10,14,13,9,3,2,16,0,7,17,12,18,0,7,6,9,12,11,23,5,16,5,10,9,6,24,13,10,14,12,7,7,6,14,7,13,12,20,15,13,16,15,12,24,5,5
"A3_TF1",1,5,0,0,3,4,0,3,1,1,0,9,2,1,0,0,3,1,2,2,2,0,0,0,3,3,1,1,0,3,5,3,0,3,0,0,1,3,0,0,0,1,0,4,0,0,0,3,1,0,3,3,0,2,0,0,0,0,1,0,0,0,0,4,0,2,0,5,1,1,3,0,1,1,2,2,3,0,2,0,3,3,1,1,0,3,1,0,0,0,0,0,1,0,0,0,0,0,0,3,0,7,2,0,2,0,0,3,3,2,0,6,2,5,0,1,2,0,1,0,1,0,2,6,1,0,0,3,0,1,3,2,2,2,0,3,0,4,0,0,1,0,2,1,1,1,0,3,3,0,0,5,1,1,3,3,2,2,3,4,2,0,1,3,0,0,0,3,0,4,0,4,2,6,1,0,2,4,1,1,1,2,0,1,1,4,1,0,3,0,1,0,1,1,0,1,1,1,0,1,1,0,0,6,0,1,0,2,1,1,0,2,0,0,0,0,1,2,0,2,4,1,2,1,0,1,0,7,0,1,0,3,2,2,3,2,0,0,0,1,2,4,0,2,1,3,1,2,0,1,1,0,0,3,2,6,0,0,3,0,3,0,0,2,1,0,3,0,3,1,0,0,0,0,1,1,2,0,0,0,5,3,0,0,0,2,0,0,1,0,0,0,2,2,0,3,0,1,0,0,1,1,0,3,4,0,4,0,1,2,2,0,1,1,2,0,1,0,0,0,2,1,5,0,2,0,3,1,1,0,0,1,0,2,6,0,3,1,0,3,3,0,2,1,1,4,0,0,1,2,2,0,2,4,1,0,0,2,1,2,0,1,4,0,0,1,0,0,3,1,2,0,4,2,0,0,2,1,0,4,0,0,0,1,3,2,0,0,0,2,0,2,2,2,3,0,1,2,2,3,3,3,2,0,2,0,0,1,2,2,0,0,3,2,0,1,0,4,0,1,1,0,1,1,1,2,0,0,1,2,0,2,1,1,0,0,1,0,2,0,1,0,0,0,0,0,0,1,2,1,0,1,6,3,0,3,3,0,2,1,6,5,2,1,0,5,2,1,0,0,0,0,7,1,3,1,2,0,2,0,0,0,1,0,0,0,0,1,1,5,0,0,0,0,0,2,0,0,2,1
"A3_TF2",3,6,4,0,1,4,0,3,2,0,0,10,3,2,2,0,1,2,0,1,3,0,0,1,3,2,0,0,2,2,1,4,3,1,1,1,2,1,0,0,0,2,2,3,0,4,0,1,0,0,9,0,0,2,4,0,1,1,1,0,0,1,0,2,0,3,0,2,0,1,0,6,1,0,0,1,0,7,1,3,1,4,2,1,1,0,0,1,0,0,3,0,2,1,2,1,0,3,2,2,0,0,5,0,2,0,1,4,0,8,0,2,6,2,0,4,1,3,0,0,0,0,2,3,2,0,1,2,0,3,0,4,8,4,1,0,4,0,1,0,1,2,4,0,2,2,0,3,2,1,0,5,6,3,1,0,1,3,0,1,1,0,2,1,0,0,0,3,0,2,0,0,2,2,3,0,0,3,0,3,1,0,0,2,0,4,3,3,4,3,3,2,5,2,0,5,2,1,0,1,0,6,4,0,2,2,0,2,5,1,2,3,0,3,1,1,0,4,1,4,0,3,0,0,0,1,0,7,0,1,0,3,0,4,1,5,2,0,0,0,5,3,3,1,0,0,2,2,1,0,0,0,1,1,1,0,0,1,1,0,2,3,0,2,0,3,1,0,1,1,0,2,0,3,3,0,3,0,2,0,1,6,2,0,3,1,5,1,2,0,0,0,1,0,1,4,1,3,4,3,3,0,0,0,0,2,2,0,1,0,2,0,2,2,5,0,1,1,0,0,2,1,4,2,0,3,0,0,0,2,0,1,2,1,3,0,2,3,4,1,1,0,0,0,1,5,3,1,0,2,7,0,2,3,1,0,1,3,0,1,1,1,0,0,0,1,2,5,5,1,0,0,0,7,5,2,0,3,3,4,0,10,2,1,0,0,1,0,0,0,4,2,0,3,0,3,2,2,2,5,1,5,1,0,3,1,1,1,8,1,1,1,1,2,0,2,0,0,0,2,0,1,3,2,0,2,0,1,1,2,1,1,2,0,1,5,2,0,1,0,1,0,2,1,0,4,0,0,1,1,0,2,6,0,3,5,5,2,0,3,0,5,1,1,3,3,1,3,2,0,4,1,8,4,11,1,2,2,1,1,0,0,1,2,1,3,0,0,2,4,0,0,0,2,6,0,6,2,0,0
"A4_TF1",22,24,6,18,10,10,19,27,18,7,1,20,23,14,24,17,23,15,16,20,16,0,31,8,16,14,19,13,17,8,23,0,12,19,13,0,20,5,1,10,12,17,8,8,0,22,19,21,17,13,0,10,21,16,19,18,11,31,9,18,13,11,15,14,20,34,17,24,14,8,21,11,16,25,16,10,17,21,10,13,18,4,22,7,9,27,15,14,15,12,18,16,14,7,5,14,4,22,8,14,22,23,18,10,14,16,7,13,20,15,11,17,15,20,6,11,15,15,14,33,18,24,16,0,14,13,14,18,13,13,23,11,23,13,0,19,19,10,13,14,11,12,17,17,12,1,11,15,31,19,5,13,17,22,10,23,15,23,8,0,11,17,15,18,2,22,11,16,9,12,13,21,20,28,0,26,12,30,16,13,20,24,22,17,21,19,25,21,18,14,13,5,0,9,16,0,26,14,19,10,6,14,27,24,9,15,14,24,23,13,14,6,12,0,18,7,9,9,10,15,13,17,24,15,20,21,23,0,0,18,22,20,2,14,14,0,8,5,10,23,23,12,7,13,17,20,5,14,14,4,12,13,5,10,18,22,14,28,14,12,8,5,8,24,4,11,0,8,24,14,3,17,18,15,13,8,0,0,8,10,21,27,16,6,11,19,21,17,20,14,18,10,17,15,15,40,13,12,16,15,25,0,11,10,15,10,21,14,2,13,11,9,20,21,17,16,20,25,26,7,8,11,27,14,9,15,21,8,17,17,7,1,9,3,0,18,27,16,17,7,7,6,11,21,14,26,26,14,12,10,0,19,19,12,16,13,11,11,17,13,21,13,15,16,6,16,30,9,14,16,14,0,15,26,23,15,25,16,15,0,10,0,10,14,27,9,17,19,11,4,30,30,11,11,17,8,16,24,14,23,16,47,25,19,14,20,10,10,14,10,23,15,17,15,9,22,20,14,27,19,16,10,25,14,8,8,13,13,25,22,13,15,17,9,13,19,9,4,14,28,28,7,8,15,5,14,7,10,21,16,13,19,14,8,20,29,15,12,23,0,15,0,16,8,11,31,0,7,19,13,4,19,16,7,14,24,15,19,9,22,9,8,15,10,8,13,18,13,12,13,13,15,22,22,15,23,12,9,8,7
"A4_TF2",14,7,5,15,21,15,14,12,9,13,1,18,7,10,13,8,15,9,7,19,14,0,12,19,13,21,6,9,11,14,9,0,11,13,10,0,9,10,1,9,5,19,8,6,0,22,8,10,15,10,0,13,17,3,21,17,8,14,11,5,16,5,12,14,14,15,15,15,4,8,15,19,14,10,14,23,17,16,8,11,13,11,16,9,11,7,17,20,10,2,12,10,8,15,7,10,8,5,5,4,10,19,12,7,13,18,11,7,21,20,7,20,22,17,13,13,15,8,9,12,16,12,27,0,12,15,12,16,11,9,22,8,14,3,1,10,15,19,9,12,10,10,11,11,9,4,17,9,29,9,2,22,15,21,15,14,26,36,10,0,7,8,6,10,0,16,8,15,14,6,27,20,10,17,0,27,19,27,18,8,7,13,6,13,12,15,13,13,21,15,11,14,0,6,5,0,11,11,11,12,4,14,15,22,8,8,22,23,25,10,14,7,8,0,16,7,10,4,13,12,13,13,14,12,11,8,6,0,0,8,6,8,1,10,18,0,4,6,9,17,15,14,14,7,10,9,9,8,8,8,11,7,13,11,8,15,10,5,9,9,8,10,11,22,10,10,0,3,18,13,11,18,18,8,13,6,0,0,6,18,16,16,12,3,10,14,20,7,8,5,11,13,20,14,11,23,10,12,19,16,16,0,15,17,21,2,11,21,3,6,10,5,19,19,19,15,9,10,13,14,8,7,14,10,15,8,13,6,13,6,4,0,6,6,0,16,8,11,15,5,12,7,13,22,5,19,13,2,14,3,0,14,13,21,12,2,15,16,10,11,18,9,15,15,8,16,10,15,26,7,5,0,7,17,12,18,19,14,16,0,12,0,9,10,11,7,7,10,11,4,31,16,17,10,9,16,13,19,11,13,9,24,10,9,4,23,4,6,8,10,7,11,7,14,15,6,12,11,14,12,13,10,10,15,15,7,8,6,6,16,5,9,7,8,19,12,16,3,8,6,11,7,9,14,4,11,10,6,15,15,12,7,10,11,22,19,16,10,13,0,15,0,2,21,15,15,0,11,11,2,10,17,18,4,30,17,9,9,6,19,8,16,10,7,5,5,9,9,7,10,5,11,16,15,17,18,14,22,14,5
"B1_TF1",17,25,9,4,15,9,14,17,1,6,0,19,7,7,8,10,12,12,6,13,21,0,9,5,17,20,12,7,20,14,22,0,17,26,9,0,19,6,0,7,10,8,15,12,0,15,9,14,10,15,0,4,10,9,12,10,7,16,13,8,6,11,9,13,12,16,8,16,4,20,13,11,7,16,11,7,11,14,10,5,9,10,20,11,9,10,10,10,11,13,9,11,9,6,7,7,14,14,4,10,25,10,13,19,26,15,12,11,16,24,2,7,19,10,8,12,12,16,11,13,7,7,10,0,6,14,14,19,16,10,18,9,23,5,0,18,15,14,10,7,9,8,12,8,7,0,8,19,19,13,0,21,13,11,12,12,7,29,16,0,7,4,8,9,0,16,7,6,8,9,9,16,12,10,0,33,15,22,9,7,11,15,11,14,12,10,12,12,20,9,6,15,0,11,12,0,16,12,5,3,12,21,19,10,14,10,14,17,18,10,11,8,9,0,15,6,12,20,7,8,5,15,18,18,4,12,26,0,0,8,15,7,0,8,10,0,13,8,8,19,10,10,14,8,8,9,5,10,5,2,10,11,11,13,10,20,9,7,9,8,4,7,11,28,0,11,0,4,12,10,15,11,9,6,21,9,0,0,9,5,22,20,20,13,10,14,13,11,8,3,5,7,12,8,4,23,4,6,12,11,11,0,12,7,19,3,10,14,0,16,8,8,18,9,24,9,11,10,14,13,9,15,13,7,14,12,13,11,7,7,2,0,15,10,0,15,6,8,13,11,11,13,13,15,12,15,12,0,6,3,0,3,6,9,9,3,6,10,12,17,6,10,25,9,9,18,15,9,11,7,9,0,16,17,20,20,41,16,10,0,10,0,16,8,19,5,11,2,10,16,25,15,7,15,21,23,15,19,10,12,11,22,7,7,5,11,8,8,9,10,7,9,10,6,10,16,4,14,6,10,7,14,7,6,13,8,7,11,14,13,12,8,10,3,9,21,9,0,7,11,11,6,18,18,13,15,9,12,11,10,25,25,8,7,9,15,14,11,11,0,18,0,7,18,14,22,0,9,10,15,9,12,16,12,17,8,5,7,7,13,8,8,10,7,2,7,15,7,10,13,12,13,17,11,18,17,12,9,9,4
"B1_TF2",6,8,5,9,9,12,3,14,1,5,0,11,10,3,4,8,7,16,3,7,9,0,16,11,2,12,10,10,7,8,12,0,7,7,5,0,3,8,0,6,1,7,7,11,0,8,9,6,12,9,0,6,11,6,13,5,5,14,7,8,4,3,8,4,13,13,2,9,2,7,4,6,6,10,4,7,12,11,5,11,8,5,13,9,3,4,13,14,8,7,5,3,3,1,7,7,0,13,6,3,4,9,11,11,11,6,10,11,8,10,3,26,16,8,5,6,13,5,5,7,4,6,17,0,11,13,4,13,9,3,13,5,8,8,0,6,13,4,2,11,6,4,15,5,7,0,5,9,18,4,0,6,8,15,4,5,4,10,9,0,3,6,7,6,0,16,5,7,1,6,7,10,3,8,0,18,2,17,11,4,3,4,3,8,11,12,10,9,10,3,10,3,0,5,6,0,13,14,5,5,8,10,16,8,6,6,14,12,8,4,6,8,5,0,12,8,1,4,5,15,6,13,14,8,8,4,7,0,0,10,4,2,0,8,13,0,11,4,3,10,10,9,9,10,3,11,1,4,9,0,6,0,11,9,6,6,4,2,10,8,3,10,7,11,2,6,0,0,12,6,3,6,7,12,12,5,0,0,7,4,9,13,8,7,6,7,13,12,9,2,3,10,11,8,0,25,8,7,12,9,11,0,10,12,15,4,5,14,1,9,7,6,7,9,7,5,6,5,7,4,5,12,8,5,18,9,13,5,8,16,1,0,13,5,0,7,8,8,10,3,3,6,8,10,4,12,8,1,6,4,0,9,3,7,14,1,2,4,3,7,4,4,10,8,3,7,3,6,10,10,3,0,8,15,17,13,32,9,1,0,8,0,11,3,6,5,2,5,15,7,13,18,10,12,10,12,8,19,4,9,15,19,3,4,4,9,6,9,9,7,7,5,7,4,3,10,3,9,0,7,8,9,12,7,6,10,6,4,15,11,4,6,3,7,0,10,8,1,5,6,12,4,9,9,6,4,6,6,8,5,12,9,15,5,7,17,11,1,6,0,10,0,7,13,10,17,0,1,3,3,5,5,14,4,8,10,5,15,8,21,8,8,4,6,1,8,0,8,1,10,3,7,13,10,6,9,17,9,3,7
"B2_TF1",41,23,26,30,38,37,27,35,31,27,0,32,29,8,24,14,67,46,32,30,17,0,35,23,18,33,21,23,16,21,20,0,40,27,15,0,28,21,0,18,28,29,23,45,0,25,30,32,46,38,0,22,25,25,26,31,27,25,7,18,37,22,24,32,24,27,55,23,26,40,48,8,40,20,35,23,21,42,32,41,39,23,23,33,22,31,30,29,37,24,14,21,19,21,36,27,26,19,22,18,36,35,25,12,49,23,41,15,22,32,31,44,31,31,22,24,24,12,37,37,22,15,63,0,26,35,22,32,38,20,33,23,37,27,0,20,28,27,3,21,23,20,23,14,31,0,19,27,64,16,0,28,36,21,42,25,12,44,28,0,22,33,28,23,0,26,31,34,14,31,26,34,32,40,0,44,18,42,24,28,22,28,32,30,62,35,13,9,44,9,23,16,0,26,28,0,20,38,14,21,20,25,33,27,57,18,34,39,39,22,18,21,28,0,38,21,25,19,25,37,32,49,31,46,19,20,31,0,0,28,26,26,0,25,23,0,25,24,21,21,34,25,12,17,28,21,1,15,28,0,22,25,24,22,23,38,8,33,29,16,6,22,32,32,1,16,0,5,17,24,18,30,30,29,27,22,0,0,16,15,31,29,29,23,29,43,32,26,37,1,16,21,24,16,25,49,23,30,18,27,33,0,38,25,39,4,44,38,0,21,21,19,20,29,41,13,22,37,32,36,13,21,39,19,28,15,24,15,8,25,0,0,16,36,0,21,25,55,30,18,28,28,37,45,22,30,24,0,19,22,0,27,21,17,32,0,25,28,39,45,19,24,26,37,27,27,23,41,53,24,27,0,40,25,24,41,61,21,37,0,29,0,35,28,20,22,15,28,28,20,41,33,33,18,28,25,29,40,18,32,62,42,31,18,19,31,19,23,26,25,22,12,39,14,27,27,13,33,11,14,19,16,35,30,15,21,20,10,32,41,19,37,37,25,26,28,23,0,21,30,22,11,28,18,31,29,20,20,32,27,26,29,42,18,22,43,35,29,19,0,28,0,54,60,29,37,0,24,19,20,10,24,36,25,36,27,13,27,23,30,36,27,32,24,2,24,24,24,20,26,29,49,38,38,41,39,39,51,23,29
"B3_TF1",9,22,6,6,8,13,9,9,6,5,0,13,8,4,6,1,15,16,9,8,11,0,16,5,13,9,5,6,6,16,17,0,23,6,5,0,1,9,0,3,10,6,4,17,0,12,6,3,8,9,0,6,6,9,10,4,4,12,2,6,13,6,7,6,16,15,6,9,7,7,10,11,6,12,7,13,4,10,4,10,9,6,4,10,4,8,6,13,4,5,7,7,5,9,11,7,7,8,4,8,13,30,5,9,7,6,7,12,10,17,5,16,12,13,8,13,11,0,9,11,6,1,21,0,6,13,3,11,14,1,11,7,13,8,0,8,18,14,0,11,3,6,7,3,1,0,1,9,19,6,0,6,5,12,15,19,6,19,8,0,3,3,3,10,0,12,3,8,14,9,4,10,7,15,0,29,8,16,10,3,5,4,9,7,7,12,8,18,9,1,3,2,0,5,12,0,9,13,3,7,6,19,15,10,9,8,10,6,19,4,6,3,1,0,12,11,6,4,3,11,12,19,9,8,8,2,13,0,0,5,5,6,0,10,9,0,5,8,0,15,15,4,7,9,8,7,0,5,10,0,10,3,13,8,7,16,1,9,8,9,4,9,9,16,0,6,0,0,12,5,7,7,11,12,12,6,0,0,2,7,6,22,16,7,17,10,14,10,9,0,10,7,6,7,11,27,5,6,5,7,10,0,7,7,16,1,11,10,0,2,9,5,12,6,13,6,5,5,16,8,4,7,17,7,9,5,12,5,0,10,0,0,12,5,0,18,5,3,16,8,6,3,9,11,2,7,10,0,2,16,0,7,11,4,4,0,5,3,2,11,4,4,10,10,10,9,3,7,18,8,3,0,13,8,14,9,31,8,12,0,16,0,11,10,19,7,1,2,6,6,27,16,11,7,9,16,9,11,8,13,17,17,7,9,9,15,9,4,11,3,3,7,5,5,11,17,3,7,0,9,10,8,6,6,7,10,5,0,6,6,9,11,9,7,4,9,7,0,4,9,16,1,8,8,2,12,3,3,14,16,14,12,13,6,8,14,7,1,8,0,6,0,4,13,14,16,0,6,15,0,1,4,17,12,15,15,1,12,9,12,8,7,4,6,0,12,10,10,9,12,3,4,20,10,9,3,16,12,10,7
"B3_TF2",15,10,6,14,17,20,11,13,18,8,0,17,7,8,9,7,9,25,10,20,16,0,18,9,7,17,23,8,11,12,32,0,5,6,10,0,8,11,0,6,14,3,4,21,0,16,13,12,22,14,0,7,19,8,19,6,17,20,2,13,7,13,11,7,20,25,11,24,14,17,12,10,15,13,10,6,14,10,9,10,7,9,17,8,11,15,5,17,12,6,9,9,10,6,11,11,6,15,11,6,12,11,17,11,16,8,10,18,15,20,13,17,24,15,14,18,12,1,14,11,8,18,28,0,13,19,1,15,20,4,14,12,11,14,0,5,10,7,0,3,4,10,8,10,5,0,5,17,16,13,0,14,17,13,25,17,12,27,5,0,5,8,7,8,0,28,0,7,6,19,12,32,9,16,0,24,7,15,16,8,5,13,20,18,15,14,17,10,13,1,10,0,0,8,11,0,10,8,4,12,12,15,16,13,4,16,12,14,13,12,10,17,12,0,12,13,4,5,14,13,9,18,7,15,8,8,16,0,0,6,7,8,0,10,11,0,6,7,0,12,15,4,8,10,9,8,0,23,13,0,7,5,11,9,6,16,0,18,8,8,6,15,12,25,0,10,0,0,20,8,8,12,12,12,8,11,0,0,12,20,8,24,10,12,11,9,12,8,8,0,9,12,6,9,3,19,8,6,9,7,16,0,5,5,22,0,7,19,0,6,10,11,15,9,28,5,9,14,5,8,5,6,12,1,16,12,12,13,1,10,0,0,14,6,0,13,6,6,17,15,11,2,16,20,5,15,11,0,13,11,0,13,11,9,6,0,12,8,13,8,8,14,18,10,10,13,9,7,14,12,4,0,15,13,21,17,19,13,9,0,11,0,12,5,9,10,1,12,30,13,28,13,9,17,17,15,14,11,18,16,18,14,8,6,11,15,6,15,14,7,0,7,17,6,16,11,10,5,0,10,9,10,9,6,6,8,7,0,9,5,7,9,5,10,10,14,12,0,11,12,13,3,10,9,10,17,10,11,15,9,9,8,16,1,13,24,13,11,11,0,23,0,10,16,9,16,0,10,16,3,5,15,18,10,12,16,1,14,12,13,11,6,7,6,0,18,15,9,7,7,12,5,17,17,16,8,14,18,8,13
"B4_TF1",11,15,11,11,12,14,5,14,21,7,0,23,20,1,12,11,19,12,5,16,16,0,13,7,10,13,10,14,9,6,18,0,13,9,5,0,16,4,0,19,15,5,7,13,0,26,9,9,13,8,0,2,7,6,17,7,16,15,0,1,12,7,12,6,21,20,5,9,5,11,9,7,11,11,9,10,3,14,11,13,11,11,12,9,8,7,6,9,3,14,4,11,5,10,12,12,9,6,12,4,22,18,21,16,14,8,9,14,19,15,9,18,13,19,6,17,17,0,13,12,10,10,25,0,3,7,0,14,14,4,19,13,21,16,0,13,17,4,0,11,0,6,8,9,7,0,9,9,33,9,0,15,10,14,13,21,7,22,13,0,4,9,3,17,0,18,1,11,6,8,12,13,8,11,0,26,4,20,10,8,8,6,7,16,15,21,16,22,16,0,8,0,0,7,5,0,18,15,4,7,5,15,23,11,2,9,8,17,13,16,10,17,10,0,12,19,11,5,6,7,12,12,12,15,6,12,14,0,0,5,8,8,0,6,8,0,4,14,0,13,19,16,11,13,16,7,0,4,3,0,11,6,12,14,4,18,0,14,14,10,0,11,13,16,0,9,0,0,23,7,8,10,16,9,18,5,0,0,11,10,16,28,16,10,8,13,10,6,16,0,9,2,6,12,20,38,7,4,16,11,14,0,13,13,19,0,10,18,0,10,7,11,22,5,23,15,4,8,12,6,7,14,11,9,14,9,24,7,0,17,0,0,19,10,0,14,7,5,16,7,5,1,13,15,5,9,15,0,7,14,0,12,8,12,6,0,6,9,16,16,9,6,15,4,13,7,3,11,14,8,6,0,7,10,19,14,40,18,9,0,12,0,15,14,14,5,0,7,14,15,26,14,8,16,11,7,10,16,11,17,21,18,17,7,12,12,9,4,11,14,1,9,13,6,5,17,6,6,0,17,8,12,14,7,15,15,5,0,12,13,10,9,4,7,12,15,8,0,7,8,16,0,13,12,7,10,5,9,11,10,7,8,11,0,17,28,13,14,7,0,21,0,10,16,14,22,0,3,10,1,2,14,13,5,16,22,0,7,10,17,7,7,14,12,0,9,7,17,4,12,7,12,20,16,13,13,23,23,12,5
