Cell_ID,x,y,Cell_Type,Sample
cell49,-0.0389380530973451,0.228360589127988,D,simulated
cell50,0.0407079646017699,-0.184221441391855,D,simulated
cell51,0.0424778761061947,-0.206557868048549,D,simulated
cell52,-0.469026548672566,-0.909923317376524,A,simulated
cell53,0.469642857142857,-0.0494578657671809,A,simulated
cell54,-0.474336283185841,-0.0216418039053679,A,simulated
cell55,-0.0442477876106195,-0.954286192078143,D,simulated
cell56,0.0460176991150443,-0.464650315698236,D,simulated
cell57,0.475,0.392459062393755,A,simulated
cell58,-0.479646017699115,-0.380699221976101,A,simulated
cell59,0.480357142857143,0.350588283035904,A,simulated
cell60,0.047787610619469,-0.819033885840327,D,simulated
cell61,0.0495575221238938,-0.204919406678528,D,simulated
cell62,-0.484955752212389,0.0156660131178796,A,simulated
cell63,0.485714285714286,-0.236194448079914,A,simulated
cell64,-0.490265486725664,0.906722740270197,A,simulated
cell65,0.491071428571429,0.262084087822586,A,simulated
cell66,-0.0513274336283186,0.30446801148355,D,simulated
cell67,0.0530973451327434,0.329596489667892,D,simulated
cell68,0.0548672566371681,0.165762673132122,D,simulated
cell69,-0.495575221238938,-0.0525533775798976,A,simulated
cell70,0.496428571428571,-0.032479599583894,A,simulated
cell71,-0.500884955752212,0.324350068345666,A,simulated
cell72,0.501785714285714,0.656070343218744,A,simulated
cell73,0.0566371681415929,0.726682201959193,D,simulated
cell74,-0.0584070796460177,0.369901284109801,D,simulated
cell75,-0.0601769911504425,-0.669808680657297,D,simulated
cell76,-0.506194690265487,0.369485130533576,A,simulated
cell77,-0.0619469026548673,-0.0286738579161465,D,simulated
cell78,0.507142857142857,-0.199904063716531,A,simulated
cell79,-0.511504424778761,0.125766861718148,A,simulated
cell80,-0.063716814159292,0.137194112408906,D,simulated
cell81,-0.0654867256637168,0.564099224284291,D,simulated
cell82,0.5125,0.239166201092303,A,simulated
cell83,-0.0672566371681416,0.585088608786464,D,simulated
cell84,-0.516814159292035,-0.673629858065397,A,simulated
cell85,0.517857142857143,0.932398836594075,A,simulated
cell86,0.0690265486725664,0.859122523106635,D,simulated
cell87,-0.52212389380531,-0.973630947992206,A,simulated
cell88,0.0707964601769912,0.60032809805125,D,simulated
cell89,0.523214285714286,-0.684498824644834,A,simulated
cell90,-0.527433628318584,-0.496915149502456,A,simulated
cell91,-0.0725663716814159,-0.321693445090204,D,simulated
cell92,0.0743362831858407,-0.57396604726091,D,simulated
cell93,0.528571428571429,-0.235089336056262,A,simulated
cell94,-0.532743362831858,-0.792701371945441,A,simulated
cell95,0.0761061946902655,0.719339965377003,D,simulated
cell96,0.533928571428571,0.404912863392383,A,simulated
cell97,0.0778761061946903,0.397814793046564,D,simulated
cell98,0.0796460176991151,0.594829949550331,D,simulated
cell99,-0.0814159292035398,0.484362000599504,D,simulated
cell100,-0.538053097345133,-0.993773668538779,A,simulated
cell101,0.539285714285714,0.678168919403106,A,simulated
cell102,-0.543362831858407,-0.0323254116810858,A,simulated
cell103,0.0831858407079646,0.10757193621248,D,simulated
cell104,0.0849557522123894,0.70792742818594,D,simulated
cell105,0.544642857142857,0.998111550230533,A,simulated
cell106,-0.548672566371681,-0.112403142731637,A,simulated
cell107,0.0867256637168142,-0.10776693187654,D,simulated
cell108,0.55,0.522000705357641,A,simulated
cell109,-0.553982300884956,-0.429678750690073,A,simulated
cell110,-0.088495575221239,0.39785630768165,D,simulated
cell111,0.555357142857143,-0.508083498105407,A,simulated
cell112,-0.55929203539823,0.316127638332546,A,simulated
cell113,-0.0902654867256637,-0.73039813619107,D,simulated
cell114,0.560714285714286,-0.0376931116916239,A,simulated
cell115,-0.564601769911504,-0.575192246120423,A,simulated
cell116,0.0920353982300885,0.0937725938856602,D,simulated
cell117,0.0938053097345133,-0.794887615833431,D,simulated
cell118,0.566071428571429,-0.899580697529018,A,simulated
cell119,0.0955752212389381,0.819435524754226,D,simulated
cell120,-0.569911504424779,0.945857115089893,A,simulated
cell121,-0.0973451327433628,0.485539154615253,D,simulated
cell122,-0.0991150442477876,0.230356718413532,D,simulated
cell123,0.571428571428571,0.967480990104377,A,simulated
cell124,0.100884955752212,0.53261992149055,D,simulated
cell125,-0.575221238938053,-0.721584993880242,A,simulated
cell126,0.576785714285714,-0.837697683367878,A,simulated
cell127,0.102654867256637,0.227560026105493,D,simulated
cell128,-0.104424778761062,0.127021776512265,D,simulated
cell129,-0.580530973451327,-0.465708495117724,A,simulated
cell130,0.582142857142857,0.415876973886043,A,simulated
cell131,-0.106194690265487,0.92994868196547,D,simulated
cell132,-0.107964601769912,-0.781006149947643,D,simulated
cell133,0.109734513274336,-0.502627067733556,D,simulated
cell134,-0.585840707964602,-0.290574487298727,A,simulated
cell135,0.5875,0.404403204564005,A,simulated
cell136,-0.111504424778761,0.0730333677493036,D,simulated
cell137,-0.113274336283186,0.387119602411985,D,simulated
cell138,0.115044247787611,0.617377803195268,D,simulated
cell139,-0.591150442477876,-0.154649219010025,A,simulated
cell140,-0.116814159292035,0.792845959309489,D,simulated
cell141,-0.11858407079646,-0.51204006979242,D,simulated
cell142,0.592857142857143,0.857722939923406,A,simulated
cell143,-0.59646017699115,0.818310800008476,A,simulated
cell144,0.598214285714286,0.296846203505993,A,simulated
cell145,-0.120353982300885,0.109670209232718,D,simulated
cell146,-0.601769911504425,-0.186124789062887,B,simulated
cell147,0.603571428571429,0.004796246998012,B,simulated
cell148,-0.607079646017699,-0.764203052502126,B,simulated
cell149,-0.12212389380531,0.603408349212259,D,simulated
cell150,0.123893805309735,0.114050674252212,D,simulated
cell151,0.608928571428571,0.10063558910042,B,simulated
cell152,-0.612389380530973,0.148703528102487,B,simulated
cell153,0.125663716814159,-0.726088882423937,D,simulated
cell154,0.614285714285714,0.747654859907925,B,simulated
cell155,-0.127433628318584,-0.237020024564117,D,simulated
cell156,0.129203539823009,-0.122388564050198,D,simulated
cell157,-0.617699115044248,-0.0838320907205343,B,simulated
cell158,0.130973451327434,0.302787915337831,D,simulated
cell159,-0.132743362831858,-0.580346712376922,D,simulated
cell160,0.619642857142857,-0.47010563313961,B,simulated
cell161,0.134513274336283,0.999876239802688,E,simulated
cell162,-0.136283185840708,-0.112728112842888,E,simulated
cell163,0.138053097345133,-0.203352945391089,E,simulated
cell164,0.139823008849558,0.956659082323313,E,simulated
cell165,-0.623008849557522,0.40296568069607,B,simulated
cell166,0.625,0.682180453557521,B,simulated
cell167,0.141592920353982,-0.0082900584675371,E,simulated
cell168,-0.628318584070797,-0.636773368809372,B,simulated
cell169,-0.143362831858407,-0.231308531947434,E,simulated
cell170,0.630357142857143,-0.645966524723917,B,simulated
cell171,-0.633628318584071,0.362455677241087,B,simulated
cell172,0.145132743362832,0.376190348528326,E,simulated
cell173,0.635714285714286,0.180217804387212,B,simulated
cell174,-0.638938053097345,0.909341119229794,B,simulated
cell175,0.641071428571429,0.193305742926896,B,simulated
cell176,0.146902654867257,-0.648946409113705,E,simulated
cell177,-0.148672566371681,0.834974168334156,E,simulated
cell178,0.150442477876106,-0.38249764079228,E,simulated
cell179,0.152212389380531,0.901012192945927,E,simulated
cell180,-0.153982300884956,0.276805442757905,E,simulated
cell181,0.155752212389381,-0.527715506032109,E,simulated
cell182,0.157522123893805,0.70158929284662,E,simulated
cell183,-0.64424778761062,0.239871224854141,B,simulated
cell184,0.646428571428571,0.213527376297861,B,simulated
cell185,-0.15929203539823,0.646395864430815,E,simulated
cell186,-0.161061946902655,0.180738257709891,E,simulated
cell187,-0.649557522123894,-0.265417002607137,B,simulated
cell188,0.651785714285714,-0.83811983698979,B,simulated
cell189,-0.16283185840708,0.823950158432126,E,simulated
cell190,-0.654867256637168,-0.464816054329276,B,simulated
cell191,-0.164601769911504,0.76603794330731,E,simulated
cell192,0.166371681415929,-0.448136531747878,E,simulated
cell193,-0.168141592920354,0.856660875026137,E,simulated
cell194,0.657142857142857,-0.161509898491204,B,simulated
cell195,0.169911504424779,0.565049984492362,E,simulated
cell196,-0.660176991150442,0.72533609252423,B,simulated
cell197,0.6625,0.672678992152214,B,simulated
cell198,0.171681415929204,0.946186450310051,E,simulated
cell199,-0.665486725663717,0.870551463682204,B,simulated
cell200,0.667857142857143,0.311650637537241,B,simulated
cell201,-0.173451327433628,-0.403942522592843,E,simulated
cell202,-0.670796460176991,0.991047203540802,B,simulated
cell203,0.673214285714286,0.498797099571675,B,simulated
cell204,-0.676106194690266,0.0707650715485215,B,simulated
cell205,0.175221238938053,0.914958141744137,E,simulated
cell206,0.176991150442478,0.089974092785269,E,simulated
cell207,0.678571428571429,-0.180839233566076,B,simulated
cell208,-0.68141592920354,0.54487160872668,B,simulated
cell209,0.683928571428571,-0.092870517168194,B,simulated
cell210,0.178761061946903,0.309226715937257,E,simulated
cell211,-0.686725663716814,0.323358041699976,B,simulated
cell212,-0.180530973451327,-0.05178411770612,E,simulated
cell213,-0.182300884955752,-0.413889284711331,E,simulated
cell214,0.689285714285714,-0.787240813486278,B,simulated
cell215,-0.184070796460177,-0.166590004228055,E,simulated
cell216,-0.692035398230089,0.553263917099684,B,simulated
cell217,0.185840707964602,-0.862915539648384,E,simulated
cell218,0.694642857142857,0.913005234673619,B,simulated
cell219,-0.697345132743363,-0.682219220325351,B,simulated
cell220,-0.187610619469027,0.390161566436291,E,simulated
cell221,-0.189380530973451,0.654171567410231,E,simulated
cell222,-0.191150442477876,0.278757660184056,E,simulated
cell223,0.7,-0.831430218182504,B,simulated
cell224,0.192920353982301,0.263985495548695,E,simulated
cell225,-0.702654867256637,-0.900135321542621,B,simulated
cell226,-0.194690265486726,0.578609579708427,E,simulated
cell227,0.19646017699115,0.376997898798436,E,simulated
cell228,0.198230088495575,-0.385833839420229,E,simulated
cell229,0.2,-0.908551292493939,E,simulated
cell230,0.201769911504425,-0.543842626269907,E,simulated
cell231,0.20353982300885,-0.103458061814308,E,simulated
cell232,-0.205309734513274,-0.188405943568796,E,simulated
cell233,0.705357142857143,0.495797210838646,B,simulated
cell234,0.207079646017699,-0.452695070765913,E,simulated
cell235,-0.707964601769911,-0.338721850886941,B,simulated
cell236,0.208849557522124,-0.465540138538927,E,simulated
cell237,0.210619469026549,-0.135087652597576,E,simulated
cell238,0.212389380530973,0.248509047552943,E,simulated
cell239,-0.214159292035398,0.444939583539963,E,simulated
cell240,0.215929203539823,-0.288658258039504,E,simulated
cell241,-0.217699115044248,-0.962099576368928,E,simulated
cell242,0.710714285714286,0.917171865236014,B,simulated
cell243,-0.713274336283186,-0.0829285611398518,B,simulated
cell244,0.716071428571429,-0.0915016252547503,B,simulated
cell245,-0.219469026548673,0.0563756246119738,E,simulated
cell246,-0.71858407079646,-0.42329324176535,B,simulated
cell247,-0.221238938053097,-0.905275024473667,E,simulated
cell248,0.721428571428572,0.527388786897063,B,simulated
cell249,-0.723893805309735,0.14006657153368,B,simulated
cell250,0.726785714285714,0.0729960007593036,B,simulated
cell251,0.223008849557522,0.695153810549527,E,simulated
cell252,0.224778761061947,-0.613610710948706,E,simulated
cell253,-0.729203539823009,0.274561712983996,B,simulated
cell254,0.732142857142857,-0.697193438652903,B,simulated
cell255,-0.734513274336283,0.176749107427895,B,simulated
cell256,0.7375,-0.769569790922105,B,simulated
cell257,-0.739823008849558,0.200714328326285,B,simulated
cell258,0.226548672566372,-0.801543183624744,E,simulated
cell259,0.228318584070796,0.587855151388794,E,simulated
cell260,0.230088495575221,0.911460717674345,E,simulated
cell261,0.742857142857143,0.326521585695446,B,simulated
cell262,0.231858407079646,-0.751572573091835,E,simulated
cell263,-0.233628318584071,0.488933228421956,E,simulated
cell264,-0.745132743362832,-0.893154579680413,B,simulated
cell265,0.748214285714286,0.770283248275518,B,simulated
cell266,0.235398230088496,-0.145284196361899,E,simulated
cell267,-0.750442477876106,-0.972719516139477,B,simulated
cell268,0.753571428571429,-0.384525918867439,B,simulated
cell269,-0.75575221238938,-0.0926733207888901,B,simulated
cell270,0.23716814159292,-0.0317427050322294,E,simulated
cell271,0.758928571428571,0.0865064063109457,B,simulated
cell272,0.238938053097345,0.148991878144443,E,simulated
cell273,-0.24070796460177,-0.84118975000456,E,simulated
cell274,0.242477876106195,-0.882524571381509,E,simulated
cell275,-0.761061946902655,-0.677502623293549,B,simulated
cell276,0.764285714285714,-0.506316263694316,B,simulated
cell277,0.24424778761062,0.63697457825765,E,simulated
cell278,-0.246017699115044,-0.591329617891461,E,simulated
cell279,-0.766371681415929,-0.728583628777415,B,simulated
cell280,-0.247787610619469,-0.721908356063068,E,simulated
cell281,0.769642857142857,0.18732042517513,B,simulated
cell282,0.249557522123894,-0.212845078669488,E,simulated
cell283,-0.251327433628319,0.887350605335087,E,simulated
cell284,-0.771681415929204,-0.347213207744062,B,simulated
cell285,0.253097345132743,0.898810665123165,E,simulated
cell286,0.775,-0.198650506325066,B,simulated
cell287,-0.776991150442478,-0.35555025562644,B,simulated
cell288,0.780357142857143,-0.95024297060445,B,simulated
cell289,0.254867256637168,0.726180722005665,E,simulated
cell290,-0.782300884955752,-0.466180934105068,B,simulated
cell291,-0.256637168141593,0.948576712049544,E,simulated
cell292,0.258407079646018,0.516991381067783,E,simulated
cell293,0.785714285714286,-0.77437172550708,B,simulated
cell294,-0.787610619469027,0.532221122644842,B,simulated
cell295,-0.260176991150443,0.469642040319741,E,simulated
cell296,0.791071428571429,0.693254484329373,B,simulated
cell297,-0.792920353982301,-0.239331650082022,B,simulated
cell298,0.261946902654867,0.225021615624428,E,simulated
cell299,-0.263716814159292,-0.526541796512902,E,simulated
cell300,0.265486725663717,-0.131658593192697,E,simulated
cell301,-0.267256637168142,-0.771752235013992,E,simulated
cell302,0.796428571428571,-0.0330485231243074,B,simulated
cell303,-0.798230088495575,0.434221824165434,B,simulated
cell304,0.801785714285714,-0.596324205864221,B,simulated
cell305,-0.80353982300885,-0.627472961321473,C,simulated
cell306,0.807142857142857,0.503086478915066,C,simulated
cell307,-0.269026548672566,-0.0353374513797462,F,simulated
cell308,-0.270796460176991,0.131546373479068,F,simulated
cell309,-0.808849557522124,0.924593362957239,C,simulated
cell310,0.8125,0.904614606872201,C,simulated
cell311,0.272566371681416,0.160055700223893,F,simulated
cell312,-0.814159292035398,-0.17869332851842,C,simulated
cell313,-0.274336283185841,0.943674735259265,F,simulated
cell314,0.817857142857143,-0.240290600340813,C,simulated
cell315,-0.819469026548673,0.362324521876872,C,simulated
cell316,0.823214285714286,-0.701747559942305,C,simulated
cell317,-0.276106194690266,0.11660602549091,F,simulated
cell318,-0.824778761061947,-0.732619417831302,C,simulated
cell319,0.27787610619469,-0.985985815990716,F,simulated
cell320,0.828571428571429,-0.119626539293677,C,simulated
cell321,-0.830088495575221,0.464214697480202,C,simulated
cell322,0.279646017699115,0.959671448450536,F,simulated
cell323,-0.28141592920354,-0.277396165765822,F,simulated
cell324,0.833928571428571,-0.929053764324635,C,simulated
cell325,-0.835398230088496,0.230277580674738,C,simulated
cell326,-0.283185840707965,0.424339135177433,F,simulated
cell327,0.284955752212389,0.744425406679511,F,simulated
cell328,-0.286725663716814,0.274062086362392,F,simulated
cell329,0.839285714285714,0.602320614270866,C,simulated
cell330,0.288495575221239,0.318013677373528,F,simulated
cell331,-0.84070796460177,0.263386955484748,C,simulated
cell332,0.844642857142857,-0.246995968744159,C,simulated
cell333,-0.290265486725664,0.990536108613014,F,simulated
cell334,0.292035398230089,0.719376496504992,F,simulated
cell335,0.293805309734513,-0.586751552764326,F,simulated
cell336,-0.846017699115044,-0.473690127488226,C,simulated
cell337,-0.295575221238938,-0.253995269071311,F,simulated
cell338,-0.297345132743363,-0.387762156780809,F,simulated
cell339,-0.299115044247788,-0.691597622353584,F,simulated
cell340,0.300884955752212,-0.238105865195394,F,simulated
cell341,0.85,0.404404560104012,C,simulated
cell342,0.302654867256637,0.883308223448694,F,simulated
cell343,0.304424778761062,-0.468643318396062,F,simulated
cell344,-0.851327433628319,0.0009086346253752,C,simulated
cell345,0.306194690265487,0.363519337493926,F,simulated
cell346,-0.307964601769912,0.63325960142538,F,simulated
cell347,-0.309734513274336,0.323544656392187,F,simulated
cell348,0.855357142857143,0.872329126577824,C,simulated
cell349,-0.856637168141593,0.626553939189762,C,simulated
cell350,0.311504424778761,0.593662427272648,F,simulated
cell351,0.860714285714286,-0.193837242666632,C,simulated
cell352,-0.861946902654867,-0.594557480886579,C,simulated
cell353,0.866071428571429,-0.826142962556332,C,simulated
cell354,-0.867256637168142,0.578946028836071,C,simulated
cell355,0.871428571428571,-0.367358335759491,C,simulated
cell356,-0.872566371681416,-0.0294452914968133,C,simulated
cell357,0.876785714285714,0.64036531932652,C,simulated
cell358,0.313274336283186,0.566170336212963,F,simulated
cell359,-0.87787610619469,-0.463216667063534,C,simulated
cell360,0.882142857142857,-0.648566199932247,C,simulated
cell361,0.315044247787611,0.83739908086136,F,simulated
cell362,-0.316814159292035,0.739354587625712,F,simulated
cell363,-0.883185840707965,-0.493030740879476,C,simulated
cell364,0.8875,-0.800887704826891,C,simulated
cell365,-0.31858407079646,0.630509559530765,F,simulated
cell366,-0.320353982300885,0.646915297955275,F,simulated
cell367,-0.888495575221239,-0.894830137025565,C,simulated
cell368,0.32212389380531,-0.901458569802344,F,simulated
cell369,0.892857142857143,0.130550160072744,C,simulated
cell370,-0.323893805309735,0.827369608450681,F,simulated
cell371,-0.893805309734513,-0.304136241786182,C,simulated
cell372,0.325663716814159,-0.600318502634764,F,simulated
cell373,0.898214285714286,-0.419667265377939,C,simulated
cell374,-0.327433628318584,0.281693845055997,F,simulated
cell375,-0.899115044247788,0.658896921668202,C,simulated
cell376,0.329203539823009,0.119328061584383,F,simulated
cell377,-0.330973451327434,-0.809337424114347,F,simulated
cell378,-0.332743362831858,0.0886128577403724,F,simulated
cell379,0.903571428571429,-0.730376965831965,C,simulated
cell380,-0.904424778761062,-0.913925410248339,C,simulated
cell381,0.908928571428571,0.234151189215481,C,simulated
cell382,-0.909734513274336,-0.741594451945275,C,simulated
cell383,0.334513274336283,-0.0824911058880389,F,simulated
cell384,-0.336283185840708,0.499506967607886,F,simulated
cell385,0.914285714285714,-0.0552944960072637,C,simulated
cell386,-0.915044247787611,0.909352092072368,C,simulated
cell387,0.338053097345133,0.333641335368156,F,simulated
cell388,0.339823008849558,0.975830155424774,F,simulated
cell389,0.919642857142857,-0.0351993511430919,C,simulated
cell390,-0.920353982300885,0.301598879974335,C,simulated
cell391,-0.341592920353982,-0.460349415894598,F,simulated
cell392,0.925,0.30336542846635,C,simulated
cell393,-0.343362831858407,0.56860664114356,F,simulated
cell394,-0.925663716814159,0.529992836527526,C,simulated
cell395,0.345132743362832,-0.61058624368161,F,simulated
cell396,0.930357142857143,-0.401521048508584,C,simulated
cell397,-0.930973451327434,-0.977210940327495,C,simulated
cell398,0.935714285714286,-0.936454609502107,C,simulated
cell399,-0.346902654867257,0.0417263167910278,F,simulated
cell400,-0.936283185840708,-0.696963325608522,C,simulated
cell401,-0.348672566371681,0.880624449811876,F,simulated
cell402,0.350442477876106,0.385306018404663,F,simulated
cell403,-0.352212389380531,0.126445422880352,F,simulated
cell404,-0.353982300884956,0.150000409688801,F,simulated
cell405,0.941071428571429,0.198355444241315,C,simulated
cell406,-0.941592920353982,0.94890573900193,C,simulated
cell407,0.355752212389381,0.831687129568309,F,simulated
cell408,-0.357522123893805,0.382063588593155,F,simulated
cell409,0.946428571428572,0.449181326664984,C,simulated
cell410,0.35929203539823,-0.76792641589418,F,simulated
cell411,-0.946902654867257,-0.48171464074403,C,simulated
cell412,0.951785714285714,0.0995808108709753,C,simulated
cell413,-0.952212389380531,0.587513740174472,C,simulated
cell414,-0.361061946902655,-0.300035040825605,F,simulated
cell415,-0.36283185840708,-0.819350871257484,F,simulated
cell416,0.957142857142857,-0.189320962876081,C,simulated
cell417,-0.957522123893805,-0.392481724265963,C,simulated
cell418,0.9625,0.664886563550681,C,simulated
cell419,-0.96283185840708,0.377890060655773,C,simulated
cell420,0.967857142857143,0.190170635003597,C,simulated
cell421,-0.968141592920354,-0.484448248986155,C,simulated
cell422,0.973214285714286,0.0169583866372705,C,simulated
cell423,0.364601769911504,-0.546710974536836,F,simulated
cell424,-0.366371681415929,0.376446257345378,F,simulated
cell425,-0.973451327433628,-0.863264080137014,C,simulated
cell426,0.368141592920354,-0.143491992261261,F,simulated
cell427,0.978571428571429,-0.685638272203505,C,simulated
cell428,-0.369911504424779,-0.712109657004476,F,simulated
cell429,-0.371681415929204,0.426853251643479,F,simulated
cell430,0.373451327433628,0.786177999339998,F,simulated
cell431,-0.978761061946903,-0.370739790145308,C,simulated
cell432,-0.375221238938053,0.474470775108784,F,simulated
cell433,0.983928571428571,-0.320454164873809,C,simulated
cell434,0.376991150442478,-0.558746827300638,F,simulated
cell435,-0.378761061946903,0.262692643795162,F,simulated
cell436,-0.380530973451327,-0.88740485906601,F,simulated
cell437,-0.984070796460177,-0.639426595997065,C,simulated
cell438,0.989285714285714,0.637002414092422,C,simulated
cell439,0.382300884955752,0.426311901770532,F,simulated
cell440,0.384070796460177,0.224317702464759,F,simulated
cell441,-0.989380530973451,0.222039916086942,C,simulated
cell442,0.385840707964602,-0.396047374699265,F,simulated
cell443,0.994642857142857,-0.0402864846400917,C,simulated
cell444,0.387610619469027,-0.285389222670346,F,simulated
cell445,-0.389380530973451,0.0165911661460996,F,simulated
cell446,-0.994690265486726,-0.585279237944633,C,simulated
cell447,1.0,-0.756501829251647,C,simulated
cell448,0.391150442477876,0.191191410645843,F,simulated
cell449,-0.392920353982301,0.420966552104801,F,simulated
cell450,-1.0,0.484572738409042,C,simulated
cell451,0.394690265486726,0.0352208274416625,F,simulated
cell452,0.39646017699115,-0.155013371258974,F,simulated
cell453,0.398230088495575,-0.368660816922784,F,simulated
cell454,0.4,-0.18149784533307,F,simulated
